"Team", "M", "W", "D", "L", "G", "GA", "PTS", "xG", "NPxG", "xGA", "NPxGA", "NPxGD", "PPDA", "OPPDA", "DC", "ODC", "xPTS"
 "Palermo", 38, 12, 13, 13, 53, 55, 49, 54.97, 49.62, 44.01, 40.21, 9.41, 9.42, 8.08, 172, 216, 58.68
 "Sassuolo", 38, 12, 13, 13, 49, 57, 49, 42.91, 36.06, 55.19, 51.38, -15.32, 8.55, 7.62, 190, 237, 44.1
 "Verona", 38, 11, 13, 14, 49, 65, 46, 46.88, 42.29, 63.41, 57.18, -14.9, 11.63, 7.54, 190, 314, 41.97
 "Chievo", 38, 10, 13, 15, 28, 41, 43, 33.01, 31.49, 48.99, 45.94, -14.45, 9.19, 6.23, 173, 247, 41.41
 "Empoli", 38, 8, 18, 12, 46, 52, 42, 49.66, 47.38, 43.42, 41.9, 5.48, 8.82, 9.09, 236, 233, 56.94
 "Udinese", 38, 10, 11, 17, 43, 56, 41, 34.86, 34.1, 54.75, 47.9, -13.8, 11.36, 7.71, 171, 304, 37.46
 "Atalanta", 38, 7, 16, 15, 38, 57, 37, 40.94, 37.13, 59.4, 52.52, -15.39, 9.4, 7.49, 189, 277, 39.26
 "Cagliari", 38, 8, 10, 20, 48, 68, 34, 53.92, 48.32, 54.17, 51.12, -2.8, 9.9, 7.89, 259, 240, 53.05
 "Parma", 38, 6, 8, 24, 33, 75, 26, 31.77, 30.24, 60.74, 56.17, -25.93, 11.91, 8.62, 212, 269, 31.52
 "Cesena", 38, 4, 12, 22, 36, 73, 24, 34.62, 30.05, 63.08, 55.33, -25.28, 10.37, 7.74, 168, 267, 34.75
