Player;Yearly Salary;Age;Position;Nationality
Darko Lazovic;1040000;30;WB/M RL;Serbia
Giangiacomo Magnani;988000;25;D C;Italy
Antonín Barák;936000;26;AM C;Czech Republic
Koray Gunter;936000;26;D C;Germany
Davide Faraoni;884000;29;D RC, M R;Italy
Federico Ceccherini;884000;29;D C;Italy
Daniel Bessa;832000;28;AM C;Italy
Adrien Tameze;832000;27;DM, AM C;France
Matteo Cancellieri;780000;19;AM R, ST;Italy
Miguel Veloso;728000;35;DM;Portugal
Gianluca Caprari;676000;27;AM RLC, F C;Italy
Antonino Ragusa;494000;31;AM RL;Italy
Kevin Ruegg;468000;22;D/WB R;Switzerland
Lorenzo Montipò;416000;25;GK;Italy
Pawel Dawidowicz;405600;26;D C, DM;Poland
Bosko sutalo;338000;21;D RC;Croatia
Alessandro Berardi;286000;30;GK;Italy
Martin Hongla;254800;23;D C, DM;Cameroon
Ivan Ilic;213200;20;DM, AM C;Serbia
Ivor Pandur;213200;21;GK;Croatia
David Flakus Bosilj;124800;19;ST;Slovenia
Nicolò Casale;23920;23;D RC;Italy
Bernardo Calabrese;22880;19;D C;Italy
Christian Pierobon;22360;19;M C;Italy
Federico Caia;21840;18;ST;Italy
Dennis Praet;4004000;27;AM RC;Belgium
Andrea Belotti;3328000;27;ST;Italy
Armando Izzo;2860000;29;D RC;Italy
Simone Verdi;2600000;28;AM RLC, F C;Italy
Daniele Baselli;2340000;29;DM;Italy
Marko Pjaca;2340000;26;AM RLC, F C;Croatia
Ricardo Rodríguez;2288000;28;D LC, M L;Switzerland
Karol Linetty;2236000;26;DM, AM C;Poland
Tomás Rincón;2080000;33;DM;Venezuela
Simone Zaza;2080000;30;ST;Italy
Antonio Sanabria;1872000;25;ST;Paraguay
Etrit Berisha;1664000;32;GK;Albania
Cristian Ansaldi;1664000;34;D/WB/M L;Argentina
Josip Brekalo;1560000;23;AM RL;Croatia
Ola Aina;1248000;24;D/WB/M RL;Nigeria
Rolando Mandragora;988000;24;DM;Italy
Sasa Lukic;988000;24;DM, AM C;Serbia
Koffi Djidji;936000;28;D C;France
Bremer;936000;24;D C;Brazil
Mergim Vojvoda;884000;26;D RC;Kosovo
David Zima;728000;20;D C;Czech Republic
Simone Edera;520000;24;AM RL;Italy
Vanja Milinkovic-Savic;468000;24;GK;Serbia
Tommaso Pobega;395200;21;DM;Italy
Alessandro Buongiorno;390000;22;D C;Italy
Wilfried Singo;280800;20;D/WB/M R;Ivory Coast
Magnus Warming;150800;21;AM L, ST;Denmark
Ben Lhassine Koné;130000;21;AM RLC;Ivory Coast
Luca Gemello;104000;21;GK;Italy
Dennis Stojkovic;48880;18;AM LC;Serbia
Gerard Deulofeu;1612000;27;AM RL, ST;Spain
Isaac Success;1612000;25;AM L, ST;Nigeria
Ignacio Pussetto;1404000;25;AM RL, ST;Argentina
Roberto Pereyra;1196000;30;AM RLC;Argentina
Ilija Nestorovski;1144000;31;ST;North Macedonia
Bram Nuytinck;1092000;31;D C;Holland
Mato Jajalo;1040000;33;DM;Bosnia & Herzegovina
Sèbastien De Maio;832000;34;D C;France
Fernando Forestieri;780000;31;AM RLC, F C;Argentina
Lukasz Teodorczyk;780000;30;ST;Poland
Jens Stryger Larsen;780000;30;D RLC, M R;Denmark
Marco Silvestri;728000;30;GK;Italy
Samir;676000;26;D LC;Brazil
Rodrigo Becão;676000;25;D C;Brazil
Tolgay Arslan;624000;30;DM;Germany
Marvin Zeegelaar;624000;30;D/WB L;Holland
Walace;468000;26;DM;Brazil
Nehuén Pérez;462800;21;D C;Argentina
Jean-Victor Makengo;421200;23;DM;France
Lazar Samardžic;416000;19;AM LC;Germany
Nahuel Molina;410800;23;D/WB/M R;Argentina
Brandon Soppy;338000;19;D RC;France
Daniele Padelli;332800;35;GK;Italy
Antonio Santurro;182000;29;GK;Italy
Beto;130000;23;AM R, ST;Guinea-Bissau
Jan Kubala;43160;21;AM RLC;Czech Republic
Simone Ianesi;14040;19;AM R, ST;Italy
Andrea Di Lazzaro;11440;16;D R;Italy
Matteo Carnelos;11440;18;GK;Italy
Francesco Di Bartolo Zuccarello;11440;16;GK;Italy
Zlatan Ibrahimovic;9100000;39;ST;Sweden
Brahim Díaz;5564000;21;AM RLC;Spain
Alessio Romagnoli;5512000;26;D C;Italy
